accuracy,precision,recall,f1,auroc,brier_score,model,group,n
0.8999855051456733,0.9036395147313692,0.974943904263276,0.937938478143551,0.9492339007767324,0.07351736484756949,text_only,overall,6899
0.8067835918249021,0.8206356812010861,0.9607329842931938,0.8851752950297184,0.7697295324704259,0.14090049266815186,metadata_only,overall,6899
0.9146253080156544,0.9458497283117856,0.943904263275991,0.9448759943846514,0.9582614203590031,0.06329028308391571,multimodal,overall,6899
0.9131517768183328,0.9056829511465603,0.9891114982578397,0.9455605287810971,0.9716056809044615,0.06318449033914894,text_only,agreement,6022
0.8032215210893391,0.812053489650119,0.9653745644599303,0.8821012834543827,0.7832957438902561,0.14221468567848206,metadata_only,agreement,6022
0.9368980405181003,0.9503849443969205,0.9677700348432056,0.9589987052222702,0.9761538766111937,0.04678216576576233,multimodal,agreement,6022
0.8589743589743589,0.8888888888888888,0.9552238805970149,0.920863309352518,0.7204884667571235,0.1270400990141784,text_only,weak_disagreement,78
0.8846153846153846,0.9027777777777778,0.9701492537313433,0.935251798561151,0.7489823609226595,0.11295490711927414,metadata_only,weak_disagreement,78
0.7692307692307693,0.9298245614035088,0.7910447761194029,0.8548387096774194,0.7747625508819539,0.1471099853515625,multimodal,weak_disagreement,78
0.9124087591240876,0.9349593495934959,0.9663865546218487,0.9504132231404959,0.8660130718954248,0.09592128526849696,text_only,medium_disagreement,137
0.8467153284671532,0.8828125,0.9495798319327731,0.9149797570850202,0.7245564892623717,0.11831570416688919,metadata_only,medium_disagreement,137
0.8321167883211679,0.9444444444444444,0.8571428571428571,0.8986784140969163,0.8529411764705881,0.12164359539747238,multimodal,medium_disagreement,137
0.7824773413897281,0.8803571428571428,0.8649122807017544,0.8725663716814159,0.6160278413424867,0.15656941911803177,text_only,strong_disagreement,662
0.8217522658610272,0.8754152823920266,0.9245614035087719,0.8993174061433447,0.6267543859649123,0.1369122862815857,metadata_only,strong_disagreement,662
0.7462235649546828,0.905241935483871,0.787719298245614,0.8424015009380863,0.6885964912280702,0.19150711596012115,multimodal,strong_disagreement,662
0.8095781071835804,0.8900662251655629,0.8888888888888888,0.8894771674387822,0.6600583759674667,0.14446898433412433,text_only,all_disagreement,877
0.8312428734321551,0.8790523690773068,0.9325396825396826,0.9050064184852374,0.6503891731164458,0.13187648355960846,metadata_only,all_disagreement,877
0.7616875712656784,0.913767019667171,0.798941798941799,0.8525052928722654,0.7231404958677686,0.17664475739002228,multimodal,all_disagreement,877
