severity,dominance,count,percentage
weak_disagreement,text_dominant,6,22.22222222222222
weak_disagreement,metadata_dominant,2,7.407407407407407
weak_disagreement,both_agree,19,70.37037037037037
weak_disagreement,neither,0,0.0
medium_disagreement,text_dominant,13,26.0
medium_disagreement,metadata_dominant,5,10.0
medium_disagreement,both_agree,32,64.0
medium_disagreement,neither,0,0.0
strong_disagreement,text_dominant,86,32.330827067669176
strong_disagreement,metadata_dominant,38,14.285714285714286
strong_disagreement,both_agree,142,53.38345864661654
strong_disagreement,neither,0,0.0
