model,subset,metric,n,estimate,ci_lo,ci_hi
text_only,overall,accuracy,3001,0.8727090969676774,0.8603798733755414,0.8837137620793069
text_only,overall,f1,3001,0.8721552878179384,0.8589379617973838,0.8841095706127378
text_only,overall,auroc,3001,0.943477903619809,0.9355796061642915,0.9507179351935424
text_only,overall,ece,3001,0.027713471984754594,0.021712084820055738,0.03979558270227159
text_only,overall,brier,3001,0.09337323805183823,0.08731420945736103,0.09985438769947501
text_only,disagreement,accuracy,368,0.6413043478260869,0.5896739130434783,0.6902173913043478
text_only,disagreement,f1,368,0.6811594202898551,0.6263157894736842,0.730443143812709
text_only,disagreement,auroc,368,0.6889430437091886,0.6319102171217326,0.7431335934688562
text_only,disagreement,ece,368,0.16813319766065754,0.13101342446108638,0.2206856861843031
text_only,disagreement,brier,368,0.24876098455777465,0.2206142659926531,0.2787661529923583
metadata_only_lc,overall,accuracy,3001,0.5658113962012662,0.5484755081639453,0.5844718427190936
metadata_only_lc,overall,f1,3001,0.543927196359818,0.520942080862058,0.5673427219716661
metadata_only_lc,overall,auroc,3001,0.5998689762380636,0.5802026421235194,0.6210350801164074
metadata_only_lc,overall,ece,3001,0.049741277006299295,0.03546348455654051,0.06729356383104765
metadata_only_lc,overall,brier,3001,0.2452542421279526,0.23989001642687768,0.2501789509287435
metadata_only_lc,disagreement,accuracy,368,0.5,0.45108695652173914,0.5516304347826086
metadata_only_lc,disagreement,f1,368,0.5282051282051282,0.46841851529650574,0.5858585858585859
metadata_only_lc,disagreement,auroc,368,0.5433811353766363,0.4864876719316376,0.6036497029788014
metadata_only_lc,disagreement,ece,368,0.13633523903706146,0.10930433470462246,0.1917396227080051
metadata_only_lc,disagreement,brier,368,0.2607777342264324,0.24648910893976841,0.27475122344026354
multimodal_lc,overall,accuracy,3001,0.8763745418193936,0.8643785404865045,0.8880373208930357
multimodal_lc,overall,f1,3001,0.87571189279732,0.8627588567071325,0.887849141582203
multimodal_lc,overall,auroc,3001,0.9474981123695314,0.9399079332687696,0.9547628589262429
multimodal_lc,overall,ece,3001,0.026186276116755662,0.020084618240897738,0.03872108143182971
multimodal_lc,overall,brier,3001,0.08998909779414925,0.08273561171562513,0.09778780424515693
multimodal_lc,disagreement,accuracy,368,0.6494565217391305,0.6005434782608695,0.6983695652173914
multimodal_lc,disagreement,f1,368,0.683046683046683,0.6294272332408812,0.7327224346613502
multimodal_lc,disagreement,auroc,368,0.7080013746992845,0.6529327886659767,0.7597846095802662
multimodal_lc,disagreement,ece,368,0.1895788878749084,0.15563806106726155,0.2464160649693044
multimodal_lc,disagreement,brier,368,0.25788349033060004,0.2254555961685478,0.2932185852967429
disagreement_aware_lc,overall,accuracy,3001,0.8617127624125291,0.8490503165611463,0.8737087637454182
disagreement_aware_lc,overall,f1,3001,0.8624461385482267,0.849025111459204,0.8745853776706732
disagreement_aware_lc,overall,auroc,3001,0.9356744392627138,0.9270518495386564,0.9438785008989837
disagreement_aware_lc,overall,ece,3001,0.0721389711578462,0.06355031254262652,0.08613964106716274
disagreement_aware_lc,overall,brier,3001,0.10782920789549871,0.0987056160279415,0.11741499874984349
disagreement_aware_lc,disagreement,accuracy,368,0.6630434782608695,0.6141304347826086,0.7119565217391305
disagreement_aware_lc,disagreement,f1,368,0.7102803738317757,0.6599663461538462,0.757510860607787
disagreement_aware_lc,disagreement,auroc,368,0.7294654294373106,0.6767613250409383,0.7801246263664684
disagreement_aware_lc,disagreement,ece,368,0.24173979193944,0.20114141873276345,0.2947783620901527
disagreement_aware_lc,disagreement,brier,368,0.2701228147885906,0.2312102602029066,0.3105326127498343
