model_a,model_b,subset,metric,n,delta_a_minus_b,boot_p_two_sided,mcnemar_chi2,mcnemar_p,mcnemar_b_a_correct_b_wrong,mcnemar_c_b_correct_a_wrong
multimodal_lc,text_only,overall,accuracy,3001,0.0036654448517161597,0.423,0.6535947712418301,0.41883037948611734,82.0,71.0
multimodal_lc,text_only,overall,f1,3001,0.0035566049793815946,0.42,,,,
multimodal_lc,text_only,disagreement,accuracy,368,0.00815217391304357,0.693,0.09302325581395349,0.7603683300552028,23.0,20.0
multimodal_lc,text_only,disagreement,f1,368,0.0018872627568279343,0.909,,,,
multimodal_lc,text_only,strong_disagreement,accuracy,290,0.020689655172413834,0.329,0.7352941176470589,0.3911725228101395,20.0,14.0
multimodal_lc,text_only,strong_disagreement,f1,290,0.009812889812889747,0.621,,,,
multimodal_lc,metadata_only_lc,overall,accuracy,3001,0.31056314561812737,0.0,673.99766718507,0.0,1109.0,177.0
multimodal_lc,metadata_only_lc,overall,f1,3001,0.33178469643750197,0.0,,,,
multimodal_lc,metadata_only_lc,disagreement,accuracy,368,0.1494565217391305,0.0,17.254437869822485,3.2693302735142815e-05,112.0,57.0
multimodal_lc,metadata_only_lc,disagreement,f1,368,0.15484155484155482,0.0,,,,
multimodal_lc,metadata_only_lc,strong_disagreement,accuracy,290,0.1413793103448276,0.0,11.851851851851851,0.000576040338606254,88.0,47.0
multimodal_lc,metadata_only_lc,strong_disagreement,f1,290,0.14564102564102566,0.0,,,,
disagreement_aware_lc,multimodal_lc,overall,accuracy,3001,-0.014661779406864417,0.002,9.73157894736842,0.001811288234108921,73.0,117.0
disagreement_aware_lc,multimodal_lc,overall,f1,3001,-0.013265754249093265,0.005,,,,
disagreement_aware_lc,multimodal_lc,disagreement,accuracy,368,0.013586956521739024,0.52,0.35555555555555557,0.5509849875850935,25.0,20.0
disagreement_aware_lc,multimodal_lc,disagreement,f1,368,0.027233690785092635,0.122,,,,
disagreement_aware_lc,multimodal_lc,strong_disagreement,accuracy,290,0.017241379310344862,0.484,0.37209302325581395,0.5418655957872516,24.0,19.0
disagreement_aware_lc,multimodal_lc,strong_disagreement,f1,290,0.03518008003557138,0.086,,,,
