uid,review_text,star_rating,binary_label,text_only_prediction,text_only_confidence,metadata_only_prediction,metadata_only_confidence,multimodal_prediction,multimodal_confidence,flag_A_sentiment_vs_label,flag_B_cross_model,flag_C_highconf_contradiction,genuine_conflict,label_noise,sarcasm,mixed_sentiment,unclear,notes
11609,Good hair but sheds a lot but for the price good you pay for what you get,1.0,0,1,0.8461,1,0.6351,1,0.711,1,0,0,,,,,,
5135,This is my first time with a facial brush so I guess is great! The battery life seems good enough.,5.0,1,1,0.9621,0,0.5139,1,0.9684,0,1,0,,,,,,
6725,"Very nice, looks good on the ear happy with this purchase",5.0,1,1,0.9857,0,0.5344,1,0.9991,0,1,0,,,,,,
19027,"I first tried this hair product about a year ago, and I do not believe it's being sold in stores any longer, which is unfortunate. It's reasonably priced and works great. I had some broken hair at the top of my head and it helped to blend that in some, but does not add weight...just some volume and health. It isn't sticky or heavy, and is quite nice!",5.0,1,1,0.6923,0,0.5684,1,0.935,0,1,0,,,,,,
7941,Wow..this really smells great. I would buy this again and again...,5.0,1,1,0.5143,0,0.5495,1,0.5703,0,1,0,,,,,,
10417,"I love dying my hair I've done it many time different colors. I bought this wanting something fun and I'm dissatisfied. I bought berry blast and envy blue to dye 2/3 of my hair. The pink on top and blue in the middle leaving my natural light brown on bottom. I used both containers of bleach left it in for 40 minutes and my hair came out orange on top and the bottom was a lighter brown.<br />I sprayed my hair and put Vaseline on my hair line and ears after dying my ears were still blue that's very hard to get off. I started putting the pink in and even with just 1/3 of my hair there wasn't really enough color for it. While I had the color in I thought it was going to be gorgeous, but once it washed out only part of my roots were the right color then it was orange and further down my hair was just light brown with light pink strips. I don't even want to leave the house with how it looks.<br />The blue looks fine for the most part kind of patchy but my ugly pink covers it. And it stands everything else bad. As soon as it hit my floor I got alcohol to clean it and my floor is still blue. Now on trying to wash the due out the water didn't run clean even with cool water. My entire tub is stained alcohol didn't work. My hands are still blue the next day just from washing my hair out, my entire back was blue along with my leg bends and feet.<br /><br />I will never buy Splat again I will stick with buying Raw in the bottle from hot topic and Spencer at the mall. The color doesn't stain my skin to bad it washed off and my hair actually stays the color I put in.",1.0,0,0,0.92,1,0.9364,0,0.6395,0,1,0,,,,,,
11452,The texture its like a gloss shiny<br />The color is beautiful but it is not matte like i prefer,1.0,0,0,0.6552,0,0.5826,0,0.9233,1,0,0,,,,,,
1264,Could not close the case. Only flat items like nail file woukd fit into the case. Clippers ect.too large for case......useless for my needs.,1.0,0,0,0.9766,1,0.5394,0,0.9754,0,1,0,,,,,,
2175,"I actually bought these because I got my first Syrian Hamster, and needed a way to trim his nails. I placed these underneath his water bottles in hopes that it'll do some good. I poured very hot water over them to sterilize, then let it air dry on a towel for at least a full day.<br /><br />I decided to pick this particular one because it was a &#34;two pack&#34; and I'll probably use the second one for myself (I bought another &#34;buy one get one&#34; pumice stone at the same time to compare)<br /><br />The...bubbling? Isn't even all around. One area has deep pockets while another has several tiny bubbles. I don't know what that says about the product or seller, but it'll be interesting to try out I suppose.<br />Also, they're two completely differently sized pieces. One is definitely thicker than the other.",4.0,1,0,0.618,1,0.5821,0,0.5891,1,1,0,,,,,,
12423,I love this stuff it's the only thing that works well in my face.<br /><br />I use it once a week just to do a thorough cleaning of my face and just use water the rest of the week. Since I don't do heavy dirty work anymore.,5.0,1,1,0.9892,0,0.6542,1,0.9996,1,1,0,,,,,,
18402,"Son suaves pero firmes, efectivas para aplicar las cremas. Fáciles de lavar",5.0,1,0,0.5625,1,0.6909,1,0.9336,1,1,0,,,,,,
6160,This shade was not good for me.I ordered another shade after.Responded to your email.,4.0,1,0,0.8834,1,0.5663,0,0.8772,1,1,0,,,,,,
19561,This disappointed me. It is very watery. It runs all over the pla,1.0,0,0,0.9622,1,0.5646,0,0.9826,0,1,0,,,,,,
