category,seed,subset,model_a,model_b,delta_accuracy,paired_bootstrap_p,mcnemar_chi2,mcnemar_p,n
All_Beauty,42,overall,early_fusion_lc,text_only,0.0036654448517161597,0.423,0.6535947712418301,0.41883037948611734,3001
All_Beauty,42,disagreement,early_fusion_lc,text_only,0.00815217391304357,0.693,0.09302325581395349,0.7603683300552028,368
All_Beauty,42,disagreement,disagree_aware_lc,early_fusion_lc,0.013586956521739024,0.52,0.35555555555555557,0.5509849875850935,368
All_Beauty,42,overall,early_fusion_full,early_fusion_lc,0.001666111296234618,0.73,0.0855614973262032,0.7698975028395627,3001
All_Beauty,123,overall,early_fusion_lc,text_only,0.0046651116294568196,0.399,0.599290780141844,0.4388487535919273,3001
All_Beauty,123,disagreement,early_fusion_lc,text_only,0.016997167138810165,0.503,0.3787878787878788,0.5382526579885007,353
All_Beauty,123,disagreement,disagree_aware_lc,early_fusion_lc,0.014164305949008527,0.55,0.2711864406779661,0.602537006105314,353
All_Beauty,123,overall,early_fusion_full,early_fusion_lc,0.01399533488837057,0.005,7.063025210084033,0.007869100463079648,3001
All_Beauty,456,overall,early_fusion_lc,text_only,0.0046651116294568196,0.33,0.8284313725490197,0.3627265064850981,3001
All_Beauty,456,disagreement,early_fusion_lc,text_only,-0.023391812865497075,0.293,1.0208333333333333,0.312321421676216,342
All_Beauty,456,disagreement,disagree_aware_lc,early_fusion_lc,0.04385964912280704,0.023,4.558139534883721,0.03276264507885984,342
All_Beauty,456,overall,early_fusion_full,early_fusion_lc,0.009663445518160563,0.025,4.930817610062893,0.02638183252281201,3001
All_Beauty,789,overall,early_fusion_lc,text_only,0.004331889370209896,0.413,0.7164179104477612,0.39732141903557106,3001
All_Beauty,789,disagreement,early_fusion_lc,text_only,-0.0029239766081871066,0.952,0.0,1.0,342
All_Beauty,789,disagreement,disagree_aware_lc,early_fusion_lc,0.014619883040935644,0.521,0.3137254901960784,0.5754030229127534,342
All_Beauty,789,overall,early_fusion_full,early_fusion_lc,0.010663112295901445,0.016,5.652941176470589,0.017426120590185668,3001
All_Beauty,2026,overall,early_fusion_lc,text_only,0.007664111962679021,0.071,3.0062111801242235,0.0829459626037965,3001
All_Beauty,2026,disagreement,early_fusion_lc,text_only,0.011267605633802802,0.612,0.21428571428571427,0.6434288435636206,355
All_Beauty,2026,disagreement,disagree_aware_lc,early_fusion_lc,0.030985915492957705,0.1,2.5641025641025643,0.10931457620866647,355
All_Beauty,2026,overall,early_fusion_full,early_fusion_lc,0.003998667110963083,0.462,0.5260869565217391,0.46825664615340634,3001
