comparison,subset,metric,n_seeds,mean_delta,std_delta,cohens_dz
early_fusion_lc vs text_only,overall,accuracy,5,0.005,0.0015,3.235
early_fusion_lc vs text_only,overall,disagreement_acc,5,0.002,0.016,0.127
early_fusion_lc vs text_only,overall,calibration_gap,5,0.0685,0.0212,3.237
ugca_full vs early_fusion_lc,overall,disagreement_acc,5,0.0031,0.0175,0.175
ugca_full vs disagree_aware_lc,overall,disagreement_acc,5,-0.0204,0.0175,-1.164
ugca_full vs disagree_aware_lc,overall,accuracy,5,0.0156,0.004,3.884
ugca_full vs early_fusion_lc,overall,calibration_gap,5,0.0175,0.0292,0.601
ugca_full vs early_fusion_lc,overall,ece,5,0.0111,0.0263,0.42
early_fusion_lc vs early_fusion_full,overall,accuracy,5,-0.008,0.005,-1.584
early_fusion_lc vs early_fusion_full,overall,disagreement_acc,5,-0.0239,0.0119,-2.014
early_fusion_lc vs text_only,pooled-multicat,accuracy,15,0.0069,0.006,1.137
early_fusion_lc vs text_only,pooled-multicat,disagreement_acc,15,0.024,0.0418,0.573
